	learn:jqzx.csv check xkd.csv:34:【解局】组建退役军人事务部，传递怎样的明确信号     	 Result: 	0.31191371696052766 	588 	205



  	class: 武器  	d: 15  	pt: 2.0  	diff:  武器A0.8181818181818182 家伙A0.09090909090909091 器械A0.09090909090909091 兵B1.0
  	class: 重视  	d: 28  	pt: 1.8726790450928381  	diff:  器A0.8567639257294429 注重A0.029177718832891247 重视AB0.9363395225464191 偏重A0.01856763925729443 看重A0.013262599469496022 尊重A0.007957559681697613 侧重A0.007957559681697613 推崇A0.002652519893899204
  	class: 相距  	d: 7  	pt: 1.8647686832740213  	diff:  偏离A0.0498220640569395 距离A0.8469750889679716 相差A0.021352313167259787 离开AB0.9323843416370107 相距A0.014234875444839857
  	class: 实行  	d: 11  	pt: 1.8553846153846152  	diff:  执行A0.7307692307692307 实践A0.11076923076923077 实施AB0.42923076923076925 行A0.08461538461538462 执A0.0015384615384615385 实行AB0.49846153846153846
  	class: 性质  	d: 7  	pt: 1.8280254777070062  	diff:  性质AB0.9140127388535032 性能A0.7016985138004246 属性A0.21231422505307856
  	class: 数量  	d: 7  	pt: 1.8137351778656126  	diff:  数据A0.8997035573122529 数量AB0.9068675889328063 数目A0.00691699604743083 数额A0.00024703557312252963
  	class: 感谢  	d: 9  	pt: 1.8095238095238095  	diff:  感谢A0.8571428571428571 感AB0.9047619047619048 致谢A0.047619047619047616
  	class: 享受  	d: 8  	pt: 1.7872340425531914  	diff:  分享A0.8936170212765957 享受AB0.8936170212765957
  	class: 买  	d: 19  	pt: 1.7872340425531912  	diff:  市A0.06382978723404255 购买A0.6808510638297872 买AB0.8936170212765957 置A0.0425531914893617 采购A0.06382978723404255 买入A0.02127659574468085 购入A0.02127659574468085
  	class: 有害  	d: 26  	pt: 1.7714285714285711  	diff:  伤害A0.4 害A0.02857142857142857 损害A0.2 危害AB0.8857142857142857 损伤A0.05714285714285714 摧残A0.02857142857142857 挫伤A0.02857142857142857 有害A0.11428571428571428 误伤A0.02857142857142857
  	class: 妻  	d: 19  	pt: 1.75  	diff:  女人A0.625 夫人AB0.875 妻子A0.125 太太A0.125
  	class: 合理  	d: 16  	pt: 1.7142857142857144  	diff:  客体A0.19047619047619047 客观A0.6666666666666666 合理性AB0.8571428571428572
  	class: 分开  	d: 13  	pt: 1.7117117117117118  	diff:  分AB0.8558558558558559 分割A0.7792792792792793 划分A0.04954954954954955 细分A0.024774774774774775 瓜分A0.0022522522522522522
  	class: 对象  	d: 4  	pt: 1.7039007092198581  	diff:  目标A0.8519503546099291 对象AB0.8519503546099291
  	class: 加以  	d: 2  	pt: 1.6805555555555556  	diff:  加AB0.8402777777777778 给定A0.8402777777777778
  	class: 死  	d: 43  	pt: 1.649122807017544  	diff:  弱A0.7894736842105263 死亡AB0.8245614035087719 逝世A0.017543859649122806 死去A0.017543859649122806
  	class: 商店  	d: 24  	pt: 1.6314606741573032  	diff:  公司A0.7640449438202247 企业AB0.8157303370786517 商店A0.043820224719101124 局A0.0011235955056179776 店铺A0.0044943820224719105 商家A0.0022471910112359553
  	class: 团体  	d: 6  	pt: 1.623318385650224  	diff:  组织AB0.5639013452914798 团队A0.7690582959641256 团体A0.042600896860986545 社AB0.24775784753363228
  	class: 价值  	d: 2  	pt: 1.6175395858708892  	diff:  值A0.8087697929354446 价值AB0.8087697929354446
  	class: 方法  	d: 11  	pt: 1.600259571706684  	diff:  方式AB0.30142764438676184 方法A0.7744970798182998 办法A0.01654769630110318 艺术A0.009085009733939001 措施AB0.49870214146658015
  	class: 公  	d: 9  	pt: 1.6  	diff:  官A0.6 集体AB0.8 公私A0.1 共用A0.1
  	class: 征募  	d: 7  	pt: 1.6  	diff:  招募A0.6 招生A0.2 招收AB0.8
  	class: 给予  	d: 13  	pt: 1.5789473684210527  	diff:  赋予A0.6578947368421053 给予AB0.7894736842105263 予以A0.05263157894736842 授予A0.07894736842105263
  	class: 眷属  	d: 12  	pt: 1.5  	diff:  家属AB0.75 家人A0.5 亲人A0.25
  	class: 向来  	d: 16  	pt: 1.5  	diff:  素A0.5 素来A0.25 历来AB0.75
  	class: 琐事  	d: 11  	pt: 1.5  	diff:  小节A0.5 小事A0.25 琐事AB0.75
  	class: 削弱  	d: 7  	pt: 1.5  	diff:  减A0.3125 减弱A0.4375 削弱AB0.75
  	class: 设立  	d: 6  	pt: 1.5  	diff:  举办A0.5961538461538461 设立AB0.75 开办A0.019230769230769232 开设A0.1346153846153846
  	class: 军队  	d: 17  	pt: 1.4620689655172414  	diff:  队伍A0.3793103448275862 军事AB0.21149425287356324 军队AB0.39770114942528734 军AB0.10574712643678162 大军A0.034482758620689655 部队B0.3333333333333333
  	class: 谈天  	d: 23  	pt: 1.4545454545454546  	diff:  闲聊A0.6363636363636364 聊聊AB0.7272727272727273 闲话A0.09090909090909091
  	class: 吸引  	d: 8  	pt: 1.436619718309859  	diff:  引发AB0.7183098591549295 吸引A0.6619718309859155 抓住A0.04225352112676056 掀起A0.014084507042253521
  	class: 文件  	d: 6  	pt: 1.430921052631579  	diff:  文件AB0.7154605263157895 文本A0.7154605263157895
  	class: 姑且  	d: 9  	pt: 1.4285714285714286  	diff:  聊A0.7142857142857143 权AB0.7142857142857143
  	class: 讲话  	d: 18  	pt: 1.392857142857143  	diff:  云A0.35119047619047616 讲AB0.21726190476190477 说话A0.30654761904761907 讲话AB0.4791666666666667 谈A0.03571428571428571 讲讲A0.002976190476190476
  	class: 再生  	d: 8  	pt: 1.3333333333333335  	diff:  再生A0.6666666666666666 复兴AB0.6666666666666667
  	class: 超越  	d: 9  	pt: 1.3179190751445087  	diff:  超过AB0.038535645472061675 超A0.279383429672447 跳A0.09248554913294797 超越A0.1811175337186898 跨A0.0674373795761079 跨越AB0.6589595375722543
  	class: 积累  	d: 5  	pt: 1.3114754098360657  	diff:  累积AB0.6557377049180328 积累A0.6229508196721312 积淀A0.03278688524590164
  	class: 建立  	d: 7  	pt: 1.3024523160762942  	diff:  成立AB0.6512261580381471 建立A0.6430517711171662 起家A0.005449591280653951 确立A0.0027247956403269754
  	class: 知识  	d: 4  	pt: 1.2267502612330197  	diff:  文化AB0.6133751306165098 知识AB0.607105538140021 学问A0.003134796238244514 学识A0.003134796238244514
  	class: 重要  	d: 29  	pt: 1.2153846153846155  	diff:  关键AB0.6076923076923078 重点A0.3333333333333333 重要性A0.2282051282051282 着重A0.046153846153846156
  	class: 种类  	d: 12  	pt: 1.2048192771084336  	diff:  项目AB0.6024096385542168 类型A0.27710843373493976 品种A0.0034423407917383822 类别A0.29345955249569705 种类A0.028399311531841654
  	class: 范围  	d: 6  	pt: 1.2037037037037035  	diff:  规模A0.5833333333333334 层面AB0.6018518518518519 局面A0.013888888888888888 框框A0.004629629629629629
  	class: 不利  	d: 13  	pt: 1.2  	diff:  不利于AB0.6 不利A0.6
  	class: 保护  	d: 7  	pt: 1.1935483870967742  	diff:  保护A0.5967741935483871 维护AB0.5967741935483871
  	class: 正常  	d: 8  	pt: 1.1685393258426966  	diff:  健康AB0.5842696629213483 常规A0.5842696629213483
  	class: 反而  	d: 7  	pt: 1.1666666666666665  	diff:  反A0.5 倒AB0.5833333333333333 倒转A0.08333333333333333
  	class: 涉及  	d: 14  	pt: 1.1358428805237317  	diff:  涉及AB0.26104746317512273 提到AB0.306873977086743 关系A0.5433715220949263 关乎A0.008183306055646482 干A0.014729950900163666 涉A0.0016366612111292963
  	class: 分散  	d: 9  	pt: 1.125  	diff:  发散A0.375 分散AB0.5625 疏散A0.0625 散落A0.0625 分流A0.0625
  	class: 法律  	d: 7  	pt: 1.119047619047619  	diff:  法律AB0.5595238095238095 法规AB0.5595238095238095
  	class: 增强  	d: 9  	pt: 1.11727078891258  	diff:  提高AB0.55863539445629 增强A0.3347547974413646 增长A0.22388059701492538
  	class: 固定  	d: 13  	pt: 1.0755555555555554  	diff:  固定AB0.5377777777777778 定位A0.49777777777777776 定点A0.017777777777777778 固化A0.022222222222222223
  	class: 思考  	d: 20  	pt: 1.0541516245487366  	diff:  思考A0.36823104693140796 思想AB0.5270758122743682 想想A0.018050541516245487 思维A0.1299638989169675 构思A0.007220216606498195 思索A0.0036101083032490976
  	class: 进步  	d: 21  	pt: 1.0388349514563107  	diff:  先进AB0.5194174757281553 进化A0.5097087378640777 前行A0.009708737864077669
  	class: 激发  	d: 10  	pt: 1.0188679245283019  	diff:  刺激A0.32075471698113206 激励AB0.5094339622641509 激发A0.16981132075471697 鼓舞A0.018867924528301886
  	class: 近似  	d: 17  	pt: 1.0105580693815988  	diff:  类似AB0.5052790346907994 接近A0.22926093514328807 看似A0.02564102564102564 相近A0.042232277526395176 类A0.02564102564102564 近似A0.15987933634992457 相仿A0.004524886877828055 好像A0.01809954751131222
  	class: 岛屿  	d: 6  	pt: 1.0  	diff:  岛屿A0.5 岛AB0.5
  	class: 风度  	d: 16  	pt: 1.0  	diff:  风范AB0.5 风采A0.5
  	class: 猛烈  	d: 19  	pt: 1.0  	diff:  激烈AB0.5 热烈A0.1111111111111111 剧烈A0.2222222222222222 火爆A0.1111111111111111 猛烈A0.05555555555555555
  	class: 耻笑  	d: 10  	pt: 1.0  	diff:  笑话AB0.5 嘲笑A0.5
  	class: 发奋  	d: 31  	pt: 1.0  	diff:  奋斗AB0.5 加油A0.5
  	class: 水平  	d: 5  	pt: 0.9276315789473685  	diff:  水平A0.4506578947368421 程度AB0.4638157894736842 水准A0.013157894736842105
  	class: 时机  	d: 6  	pt: 0.903225806451613  	diff:  机A0.36129032258064514 机会AB0.4516129032258065 机遇A0.05806451612903226 时机A0.03225806451612903
  	class: 可以  	d: 7  	pt: 0.8571428571428572  	diff:  足以AB0.4285714285714286 得以A0.42857142857142855
  	class: 成员  	d: 4  	pt: 0.8125  	diff:  成员AB0.40625 分子A0.40625
  	class: 结束  	d: 38  	pt: 0.7559055118110234  	diff:  结束AB0.3779527559055118 完A0.2047244094488189 截止A0.07086614173228346 结A0.031496062992125984 告终A0.007874015748031496 终结A0.015748031496062992 完毕A0.023622047244094488 利落A0.007874015748031496 完结A0.007874015748031496 收A0.007874015748031496
  	class: 使用  	d: 14  	pt: 0.6698679471788715  	diff:  采用A0.2809123649459784 利用AB0.3349339735894358 用到A0.05162064825930372 动用A0.0012004801920768306 行使A0.0012004801920768306
  	class: 差别  	d: 6  	pt: 0.6419753086419753  	diff:  差异AB0.32098765432098764 差距A0.32098765432098764
  	class: 出席  	d: 11  	pt: 0.6086956521739131  	diff:  临场A0.043478260869565216 出席A0.21739130434782608 参加AB0.30434782608695654 在场A0.043478260869565216
  	class: 安定  	d: 24  	pt: 0.5084745762711864  	diff:  稳定AB0.2542372881355932 稳定性A0.23728813559322035 平稳A0.00847457627118644 安定A0.00847457627118644
  	class: 对  	d: 6  	pt: 0.4838709677419355  	diff:  面对AB0.24193548387096775 相向A0.016129032258064516 面A0.11290322580645161 劈A0.11290322580645161
  	class: 意图  	d: 6  	pt: 0.4444444444444444  	diff:  意图A0.19883040935672514 作用AB0.2222222222222222 意向A0.023391812865497075
  	class: 习惯  	d: 6  	pt: 0.4444444444444444  	diff:  习惯AB0.2222222222222222 习惯于A0.2222222222222222
  	class: 管辖  	d: 9  	pt: 0.42857142857142855  	diff:  总统A0.21428571428571427 部AB0.07142857142857145 总理AB0.14285714285714285
  	class: 接受  	d: 9  	pt: 0.42105263157894735  	diff:  接受AB0.21052631578947367 领A0.14912280701754385 承受A0.05263157894736842 奉A0.008771929824561403
  	class: 机关  	d: 3  	pt: 0.41791044776119407  	diff:  机构AB0.12271973466003322 部门AB0.08623548922056384 单位A0.208955223880597
  	class: 担负  	d: 14  	pt: 0.3811320754716981  	diff:  负责AB0.08679245283018866 承担A0.05660377358490566 担当A0.009433962264150943 负担A0.02830188679245283 顶住A0.009433962264150943 担负AB0.19056603773584907
  	class: 时期  	d: 4  	pt: 0.3595505617977528  	diff:  时代AB0.1797752808988764 时期A0.1797752808988764
  	class: 医治  	d: 10  	pt: 0.3386243386243386  	diff:  医疗AB0.1693121693121693 治疗A0.12169312169312169 诊疗A0.037037037037037035 医A0.010582010582010581
  	class: 职业  	d: 6  	pt: 0.32000000000000006  	diff:  职业AB0.16000000000000003 生意A0.16
  	class: 组建  	d: 2  	pt: 0.30000000000000004  	diff:  组建AB0.15000000000000002 组装A0.15
  	class: 答应  	d: 10  	pt: 0.2622950819672132  	diff:  应AB0.1311475409836066 承诺A0.13114754098360656
  	class: 描写  	d: 12  	pt: 0.2567567567567568  	diff:  写AB0.1283783783783784 刻画A0.04054054054054054 描绘A0.0472972972972973 形容A0.04054054054054054
  	class: 政府  	d: 4  	pt: 0.25  	diff:  政府AB0.125 内阁B0.125
  	class: 高等学校  	d: 3  	pt: 0.24  	diff:  大学AB0.12 高校A0.12
  	class: 资格  	d: 2  	pt: 0.2325581395348837  	diff:  身份AB0.11627906976744184 资格A0.11627906976744186
  	class: 强大  	d: 27  	pt: 0.22580645161290322  	diff:  强大AB0.11290322580645162 精A0.06989247311827956 强劲A0.010752688172043012 强有力A0.026881720430107527 劲A0.005376344086021506
  	class: 衣服  	d: 10  	pt: 0.22222222222222227  	diff:  衣服AB0.11111111111111116 服饰A0.1111111111111111
  	class: 担心  	d: 10  	pt: 0.2083333333333333  	diff:  担心AB0.10416666666666663 顾虑A0.08333333333333333 操心A0.020833333333333332
  	class: 结构  	d: 2  	pt: 0.1839530332681018  	diff:  结构AB0.09197651663405093 构造A0.09197651663405088
  	class: 调和  	d: 4  	pt: 0.16666666666666669  	diff:  协调AB0.08333333333333337 和谐A0.08333333333333333
  	class: 制订  	d: 3  	pt: 0.1538461538461538  	diff:  制定AB0.07692307692307687 制订A0.07692307692307693
  	class: 过问  	d: 3  	pt: 0.12121212121212116  	diff:  干预AB0.06060606060606055 干涉A0.06060606060606061
  	class: 家庭  	d: 4  	pt: 0.11764705882352942  	diff:  家庭AB0.05882352941176472 家园A0.058823529411764705
  	class: 带动  	d: 5  	pt: 0.11111111111111113  	diff:  带来AB0.05555555555555558 带动A0.05092592592592592 拉动A0.004629629629629629
  	class: 合法  	d: 3  	pt: 0.11111111111111113  	diff:  官方AB0.05555555555555558 法定A0.037037037037037035 合法A0.018518518518518517
  	class: 被  	d: 7  	pt: 0.10126582278481017  	diff:  受AB0.05063291139240511 深受A0.05063291139240506
  	class: 合算  	d: 8  	pt: 0.09756097560975614  	diff:  划算A0.04878048780487805 经济AB0.04878048780487809
  	class: 相关  	d: 15  	pt: 0.0947368421052632  	diff:  相关AB0.047368421052631615 系A0.0456140350877193 相干A0.0017543859649122807
  	class: 发生  	d: 8  	pt: 0.09090909090909087  	diff:  发生AB0.045454545454545414 发出A0.03896103896103896 时有发生A0.006493506493506494
  	class: 解决  	d: 9  	pt: 0.08567208271787297  	diff:  解决AB0.04283604135893648 缓解A0.03840472673559823 化解A0.004431314623338257
  	class: 情况  	d: 8  	pt: 0.07072135785007072  	diff:  情况AB0.03536067892503536 情形A0.024045261669024046 图景A0.011315417256011316
  	class: 包括  	d: 9  	pt: 0.06299212598425202  	diff:  包括AB0.03149606299212604 概括A0.01889763779527559 席卷A0.0031496062992125984 囊括A0.007874015748031496 总括A0.0015748031496062992
  	class: 成熟  	d: 4  	pt: 0.045454545454545435  	diff:  成熟AB0.022727272727272707 熟A0.022727272727272728
  	class: 编成  	d: 2  	pt: 0.0416666666666667  	diff:  作出AB0.02083333333333337 编成A0.020833333333333332
  	class: 登载  	d: 12  	pt: 0.03478260869565218  	diff:  发表AB0.017391304347826098 刊A0.008695652173913044 刊登A0.008695652173913044
  	class: 方面  	d: 4  	pt: 0.030769230769230715  	diff:  地方AB0.01538461538461533 上头A0.015384615384615385
  	class: 畅通  	d: 15  	pt: 0.0210526315789474  	diff:  交通AB0.010526315789473717 无阻A0.010526315789473684
  	class: 基础  	d: 9  	pt: 0.02020202020202016  	diff:  基础AB0.010101010101010055 根基A0.005050505050505051 功底A0.005050505050505051
  	class: 内情  	d: 10  	pt: 0.017094017094017065  	diff:  背景AB0.008547008547008517 虚实A0.008547008547008548
  	class: 实际  	d: 9  	pt: 0.015873015873015844  	diff:  现实AB0.007936507936507908 现实性A0.007936507936507936
  	class: 提供  	d: 2  	pt: 0.010349288486416516  	diff:  提供AB0.005174644243208237 资A0.00517464424320828
  	class: 怀念  	d: 21  	pt: 0.007194244604316525  	diff:  想AB0.003597122302158251 纪念A0.0035971223021582736
  	class: 新  	d: 9  	pt: 0.002192982456140382  	diff:  新AB0.0010964912280702066 独创性A0.0010964912280701754
